ticker,tv_symbol,forecast_url,market,asset_type,name,theme,last_attempt_date,rating_date,next_refresh_due,current_price,tv_avg_target,tv_high_target,tv_low_target,tv_upside_pct,tv_high_upside_pct,tv_low_upside_pct,tv_analyst_count_target,tv_consensus,tv_analyst_count_rating,source_quality,freshness,stale_days,status,note
AVAV,NASDAQ:AVAV,https://www.tradingview.com/symbols/NASDAQ-AVAV/forecast/,US,stock,AeroVironment,防衛ドローン,2026-06-27,2026-06-27,2026-07-27,137.9499969482422,277.56,400.0,194.0,101.20333899256153,189.96013689661552,40.63066639485854,16.0,,19.0,TV_FULL,attempted,0.0,forecast_page_ok,
AXON,NASDAQ:AXON,https://www.tradingview.com/symbols/NASDAQ-AXON/forecast/,US,stock,Axon Enterprise,公共安全AI・防衛,2026-06-27,2026-06-27,2026-07-27,464.8299865722656,676.88,825.0,440.0,45.61883259542414,77.48424667773448,-5.341735105208275,17.0,,23.0,TV_FULL,attempted,0.0,forecast_page_ok,
AUR,NASDAQ:AUR,https://www.tradingview.com/symbols/NASDAQ-AUR/forecast/,US,stock,Aurora Innovation,自動運転・物流,2026-06-27,2026-06-27,2026-07-27,6.360000133514404,11.14,18.0,3.59,75.15722902735644,183.0188619831612,-43.55346030446952,11.0,,14.0,TV_FULL,attempted,0.0,forecast_page_ok,
TMDX,NASDAQ:TMDX,https://www.tradingview.com/symbols/NASDAQ-TMDX/forecast/,US,stock,TransMedics,移植医療,2026-06-27,2026-06-27,2026-07-27,68.44000244140625,119.1,142.0,80.0,74.0210341195786,107.4809978587755,16.89070301902845,10.0,,12.0,TV_FULL,attempted,0.0,forecast_page_ok,
NOW,NYSE:NOW,https://www.tradingview.com/symbols/NYSE-NOW/forecast/,US,stock,ServiceNow,業務AI・SaaS,2026-06-27,2026-06-27,2026-07-27,98.33999633789062,140.76,236.0,85.0,43.136063902582066,139.983738853434,-13.5651788027886,41.0,,50.0,TV_FULL,attempted,0.0,forecast_page_ok,
RDW,NYSE:RDW,https://www.tradingview.com/symbols/NYSE-RDW/forecast/,US,stock,Redwire,宇宙インフラ,2026-06-27,2026-06-27,2026-07-27,10.930000305175781,15.71,24.0,7.0,43.73284136653412,119.57913385084777,-35.956085960169396,7.0,,8.0,TV_FULL,attempted,0.0,forecast_page_ok,
TRMB,NASDAQ:TRMB,https://www.tradingview.com/symbols/NASDAQ-TRMB/forecast/,US,stock,Trimble,測位・建設DX,2026-06-27,2026-06-27,2026-07-27,50.70000076293945,85.33,94.0,70.0,68.30374500186258,85.40433646050724,38.067059066335176,12.0,,16.0,TV_FULL,attempted,0.0,forecast_page_ok,
VEEV,NYSE:VEEV,https://www.tradingview.com/symbols/NYSE-VEEV/forecast/,US,stock,Veeva Systems,ライフサイエンスSaaS,2026-06-27,2026-06-27,2026-07-27,171.36000061035156,241.43,340.0,165.0,40.890522373991885,98.41269770599031,-3.7114849367988185,23.0,,29.0,TV_FULL,attempted,0.0,forecast_page_ok,
PYPL,NASDAQ:PYPL,https://www.tradingview.com/symbols/NASDAQ-PYPL/forecast/,US,stock,PayPal,決済・フィンテック,2026-06-27,2026-06-27,2026-07-27,44.290000915527344,47.21,63.0,32.0,6.592908160110138,42.24429599845242,-27.74892901665909,31.0,,47.0,TV_FULL,attempted,0.0,forecast_page_ok,
TEM,NASDAQ:TEM,https://www.tradingview.com/symbols/NASDAQ-TEM/forecast/,US,stock,Tempus AI,AI医療・診断,2026-06-27,2026-06-27,2026-07-27,56.13999938964844,66.53,100.0,35.0,18.507304459050918,78.12611522478718,-37.655859671324485,15.0,,19.0,TV_FULL,attempted,0.0,forecast_page_ok,
FICO,NYSE:FICO,https://www.tradingview.com/symbols/NYSE-FICO/forecast/,US,stock,Fair Isaac,信用スコア・分析,2026-06-27,2026-06-27,2026-07-27,1182.7900390625,1501.05,2400.0,707.0,26.907561817967146,102.91006186544163,-40.22607760880532,20.0,,25.0,TV_FULL,attempted,0.0,forecast_page_ok,
AAOI,NASDAQ:AAOI,https://www.tradingview.com/symbols/NASDAQ-AAOI/forecast/,US,stock,Applied Optoelectronics,光通信・CPO周辺,2026-06-27,2026-06-27,2026-07-27,135.69000244140625,172.75,260.0,57.5,27.31225358669812,91.6132326051607,-57.623996635397155,6.0,,8.0,TV_FULL,attempted,0.0,forecast_page_ok,
OUST,NASDAQ:OUST,https://www.tradingview.com/symbols/NASDAQ-OUST/forecast/,US,stock,Ouster,LiDAR・ロボティクス,2026-06-27,2026-06-27,2026-07-27,42.02000045776367,47.29,75.0,32.0,12.541645608817777,78.48643308651583,-23.845788549753248,7.0,,8.0,TV_FULL,attempted,0.0,forecast_page_ok,
APH,NYSE:APH,https://www.tradingview.com/symbols/NYSE-APH/forecast/,US,stock,Amphenol,コネクタ・AIインフラ,2026-06-27,2026-06-27,2026-07-27,163.72000122070312,184.61,215.0,135.0,12.759588702382233,31.32176789454622,-17.542145740633767,18.0,,23.0,TV_FULL,attempted,0.0,forecast_page_ok,
ASPI,NASDAQ:ASPI,https://www.tradingview.com/symbols/NASDAQ-ASPI/forecast/,US,stock,ASP Isotopes,核燃料・同位体,2026-06-27,2026-06-27,2026-07-27,6.170000076293945,13.0,15.0,11.0,110.69691797813628,143.1118284363111,78.28200751996147,3.0,,3.0,TV_FULL,attempted,0.0,forecast_page_ok,
NBIS,NASDAQ:NBIS,https://www.tradingview.com/symbols/NASDAQ-NBIS/forecast/,US,stock,Nebius,AIクラウド,2026-06-27,2026-06-27,2026-07-27,240.3000030517578,257.64,380.0,144.0,7.215978663349139,58.13566174535272,-40.074907128076866,14.0,,17.0,TV_FULL,attempted,0.0,forecast_page_ok,
EWY,,,US,etf,iShares MSCI South Korea ETF,韓国ETF・半導体,,,,197.27999877929688,,,,,,,,,,NOT_APPLICABLE,not_applicable,,not_applicable,ETF/watch_onlyはTradingViewアナリスト予測対象外
ISRG,NASDAQ:ISRG,https://www.tradingview.com/symbols/NASDAQ-ISRG/forecast/,US,stock,Intuitive Surgical,医療ロボット,2026-06-27,2026-06-27,2026-07-27,404.70001220703125,570.19,750.0,366.0,40.89201452959422,85.32245549237211,-9.562641719722409,28.0,,36.0,TV_FULL,attempted,0.0,forecast_page_ok,
SPGI,NYSE:SPGI,https://www.tradingview.com/symbols/NYSE-SPGI/forecast/,US,stock,S&P Global,指数・格付け,2026-06-27,2026-06-27,2026-07-27,408.1600036621094,532.82,575.0,480.0,30.541943164301085,40.8761257450417,17.600939752382637,22.0,,29.0,TV_FULL,attempted,0.0,forecast_page_ok,
MELI,NASDAQ:MELI,https://www.tradingview.com/symbols/NASDAQ-MELI/forecast/,US,stock,MercadoLibre,中南米EC・決済,2026-06-27,2026-06-27,2026-07-27,1675.0999755859375,2244.5,2800.0,1750.0,33.99200243047527,67.15420218548931,4.471376365930817,22.0,,26.0,TV_FULL,attempted,0.0,forecast_page_ok,
TMO,NYSE:TMO,https://www.tradingview.com/symbols/NYSE-TMO/forecast/,US,stock,Thermo Fisher,ライフサイエンス,2026-06-27,2026-06-27,2026-07-27,513.030029296875,595.21,750.0,490.0,16.018549794396144,46.19027292182104,-4.48902169107692,24.0,,31.0,TV_FULL,attempted,0.0,forecast_page_ok,
META,NASDAQ:META,https://www.tradingview.com/symbols/NASDAQ-META/forecast/,US,stock,Meta Platforms,AI・広告・SNS,2026-06-27,2026-06-27,2026-07-27,550.25,820.27,1015.0,697.47,49.07223989095865,84.46160835983643,26.75511131303953,59.0,,70.0,TV_FULL,attempted,0.0,forecast_page_ok,
IONQ,NYSE:IONQ,https://www.tradingview.com/symbols/NYSE-IONQ/forecast/,US,stock,IonQ,量子コンピュータ,2026-06-27,2026-06-27,2026-07-27,49.310001373291016,71.32,100.0,48.5,44.635972447226074,102.79861532140507,-1.6426715691185452,11.0,,13.0,TV_FULL,attempted,0.0,forecast_page_ok,
RGTI,NASDAQ:RGTI,https://www.tradingview.com/symbols/NASDAQ-RGTI/forecast/,US,stock,Rigetti,量子コンピュータ,2026-06-27,2026-06-27,2026-07-27,18.360000610351562,31.0,40.0,20.0,68.84531029112206,117.86491650467363,8.932458252336813,10.0,,13.0,TV_FULL,attempted,0.0,forecast_page_ok,
SDGR,NASDAQ:SDGR,https://www.tradingview.com/symbols/NASDAQ-SDGR/forecast/,US,stock,Schrodinger,AI創薬,2026-06-27,2026-06-27,2026-07-27,16.860000610351562,20.88,30.0,13.0,23.84341188683155,77.93593661901086,-22.894427465095298,8.0,,8.0,TV_FULL,attempted,0.0,forecast_page_ok,
RXRX,NASDAQ:RXRX,https://www.tradingview.com/symbols/NASDAQ-RXRX/forecast/,US,stock,Recursion,AI創薬,2026-06-27,2026-06-27,2026-07-27,3.5199999809265137,6.64,10.0,3.0,88.63636465850941,184.09091063028526,-14.772726810914424,7.0,,8.0,TV_FULL,attempted,0.0,forecast_page_ok,
QCOM,NASDAQ:QCOM,https://www.tradingview.com/symbols/NASDAQ-QCOM/forecast/,US,stock,Qualcomm,半導体・エッジAI,2026-06-27,2026-06-27,2026-07-27,189.38999938964844,221.93,350.0,100.0,17.181477752372874,84.80384451552518,-47.1989015669928,30.0,,40.0,TV_FULL,attempted,0.0,forecast_page_ok,
HSAI,NASDAQ:HSAI,https://www.tradingview.com/symbols/NASDAQ-HSAI/forecast/,US,stock,Hesai,LiDAR,2026-06-27,2026-06-27,2026-07-27,14.800000190734863,30.45,,,105.74324059172912,,,22.0,,25.0,TV_FULL,attempted,0.0,forecast_page_ok,
PL,NYSE:PL,https://www.tradingview.com/symbols/NYSE-PL/forecast/,US,stock,Planet Labs,宇宙データ,2026-06-27,2026-06-27,2026-07-27,27.06999969482422,41.0,53.0,22.0,51.45918161143975,95.78869818064163,-18.72921962312989,11.0,,12.0,TV_FULL,attempted,0.0,forecast_page_ok,
V,NYSE:V,https://www.tradingview.com/symbols/NYSE-V/forecast/,US,stock,Visa,決済,2026-06-27,2026-06-27,2026-07-27,336.2300109863281,402.03,450.0,350.0,19.56993333838585,33.83695247188926,4.095407478136089,33.0,,40.0,TV_FULL,attempted,0.0,forecast_page_ok,
VRTX,NASDAQ:VRTX,https://www.tradingview.com/symbols/NASDAQ-VRTX/forecast/,US,stock,Vertex Pharma,医薬,2026-06-27,2026-06-27,2026-07-27,491.3399963378906,553.64,641.0,330.0,12.679611699932961,30.459560544138842,-32.83673170114537,28.0,,36.0,TV_FULL,attempted,0.0,forecast_page_ok,
DIS,NYSE:DIS,https://www.tradingview.com/symbols/NYSE-DIS/forecast/,US,stock,Disney,メディア・IP,2026-06-27,2026-06-27,2026-07-27,98.79000091552734,132.46,163.0,116.0,34.082395761148916,64.99645560219895,17.42079048990845,26.0,,31.0,TV_FULL,attempted,0.0,forecast_page_ok,
KVYO,NYSE:KVYO,https://www.tradingview.com/symbols/NYSE-KVYO/forecast/,US,stock,Klaviyo,マーケSaaS,2026-06-27,2026-06-27,2026-07-27,14.899999618530273,28.82,37.0,17.0,93.4228237439565,148.32215400854926,14.093962652576694,22.0,,24.0,TV_FULL,attempted,0.0,forecast_page_ok,
DKNG,NASDAQ:DKNG,https://www.tradingview.com/symbols/NASDAQ-DKNG/forecast/,US,stock,DraftKings,スポーツベッティング,2026-06-27,2026-06-27,2026-07-27,25.700000762939453,34.19,74.0,20.0,33.03501550592754,187.93773464283822,-22.178990637070754,36.0,,41.0,TV_FULL,attempted,0.0,forecast_page_ok,
CRSP,NASDAQ:CRSP,https://www.tradingview.com/symbols/NASDAQ-CRSP/forecast/,US,stock,CRISPR Therapeutics,遺伝子編集,2026-06-27,2026-06-27,2026-07-27,54.91999816894531,81.1,291.0,44.0,47.669342141126016,429.8616345631032,-19.88346418977133,21.0,,26.0,TV_FULL,attempted,0.0,forecast_page_ok,
BEAM,NASDAQ:BEAM,https://www.tradingview.com/symbols/NASDAQ-BEAM/forecast/,US,stock,Beam Therapeutics,遺伝子編集,2026-06-27,2026-06-27,2026-07-27,34.810001373291016,50.19,80.0,26.0,44.182700430772556,129.81900845709913,-25.308822251442788,16.0,,18.0,TV_FULL,attempted,0.0,forecast_page_ok,
ETN,NYSE:ETN,https://www.tradingview.com/symbols/NYSE-ETN/forecast/,US,stock,Eaton,電力インフラ,2026-06-27,2026-06-27,2026-07-27,402.67999267578125,463.92,534.0,360.0,15.20810778734823,32.611505342395134,-10.598985162430244,24.0,,30.0,TV_FULL,attempted,0.0,forecast_page_ok,
MSTR,NASDAQ:MSTR,https://www.tradingview.com/symbols/NASDAQ-MSTR/forecast/,US,stock,MicroStrategy,Bitcoin連動,2026-06-27,2026-06-27,2026-07-27,82.30999755859375,336.33,570.0,163.0,308.61378930375724,592.5039690278644,98.03183675709106,15.0,,19.0,TV_FULL,attempted,0.0,forecast_page_ok,
POET,NASDAQ:POET,https://www.tradingview.com/symbols/NASDAQ-POET/forecast/,US,stock,POET Technologies,光電融合・CPO,2026-06-27,2026-06-27,2026-07-27,9.4399995803833,20.25,23.0,17.5,114.51272139969493,143.64407862681398,85.38136417257586,2.0,,1.0,TV_FULL,attempted,0.0,forecast_page_ok,
KITT,NASDAQ:KITT,https://www.tradingview.com/symbols/NASDAQ-KITT/forecast/,US,stock,Nauticus Robotics,海洋ロボ・超小型,2026-06-27,2026-06-27,2026-07-04,1.149999976158142,,,,,,,,NoRating,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NASDAQ-KITT/forecast/: HTTP Error 404: Not Found / https://www.tradingview.com/symbols/NASDAQ-KITT/forecast-price-target/: HTTP Error 404: Not Found / https://www.tradingview.com/symbols/NYSE-KITT/forecast/: HTTP Error 404: Not Found
AXTI,NASDAQ:AXTI,https://www.tradingview.com/symbols/NASDAQ-AXTI/forecast/,US,stock,AXT,化合物半導体,2026-06-27,2026-06-27,2026-07-04,70.1500015258789,,,,,,,,Buy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NASDAQ-AXTI/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-AXTI/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-AXTI/forecast/: HTTP Error 403: Forbidden
