ticker,tv_symbol,forecast_url,last_verified,source,status,note
AVAV,NASDAQ:AVAV,https://www.tradingview.com/symbols/NASDAQ-AVAV/forecast/,2026-06-27,symbol_map,forecast_page_ok,
AXON,NASDAQ:AXON,https://www.tradingview.com/symbols/NASDAQ-AXON/forecast/,2026-06-27,symbol_map,forecast_page_ok,
AUR,NASDAQ:AUR,https://www.tradingview.com/symbols/NASDAQ-AUR/forecast/,2026-06-27,symbol_map,forecast_page_ok,
TMDX,NASDAQ:TMDX,https://www.tradingview.com/symbols/NASDAQ-TMDX/forecast/,2026-06-27,symbol_map,forecast_page_ok,
NOW,NYSE:NOW,https://www.tradingview.com/symbols/NYSE-NOW/forecast/,2026-06-27,symbol_map,forecast_page_ok,
RDW,NYSE:RDW,https://www.tradingview.com/symbols/NYSE-RDW/forecast/,2026-06-27,symbol_map,forecast_page_ok,
TRMB,NASDAQ:TRMB,https://www.tradingview.com/symbols/NASDAQ-TRMB/forecast/,2026-06-27,symbol_map,forecast_page_ok,
VEEV,NYSE:VEEV,https://www.tradingview.com/symbols/NYSE-VEEV/forecast/,2026-06-27,symbol_map,forecast_page_ok,
PYPL,NASDAQ:PYPL,https://www.tradingview.com/symbols/NASDAQ-PYPL/forecast/,2026-06-27,symbol_map,forecast_page_ok,
TEM,NASDAQ:TEM,https://www.tradingview.com/symbols/NASDAQ-TEM/forecast/,2026-06-27,symbol_map,forecast_page_ok,
FICO,NYSE:FICO,https://www.tradingview.com/symbols/NYSE-FICO/forecast/,2026-06-27,symbol_map,forecast_page_ok,
AAOI,NASDAQ:AAOI,https://www.tradingview.com/symbols/NASDAQ-AAOI/forecast/,2026-06-27,symbol_map,forecast_page_ok,
OUST,NASDAQ:OUST,https://www.tradingview.com/symbols/NASDAQ-OUST/forecast/,2026-06-27,symbol_map,forecast_page_ok,
APH,NYSE:APH,https://www.tradingview.com/symbols/NYSE-APH/forecast/,2026-06-27,symbol_map,forecast_page_ok,
ASPI,NASDAQ:ASPI,https://www.tradingview.com/symbols/NASDAQ-ASPI/forecast/,2026-06-27,symbol_map,forecast_page_ok,
NBIS,NASDAQ:NBIS,https://www.tradingview.com/symbols/NASDAQ-NBIS/forecast/,2026-06-27,symbol_map,forecast_page_ok,
ISRG,NASDAQ:ISRG,https://www.tradingview.com/symbols/NASDAQ-ISRG/forecast/,2026-06-27,symbol_map,forecast_page_ok,
SPGI,NYSE:SPGI,https://www.tradingview.com/symbols/NYSE-SPGI/forecast/,2026-06-27,symbol_map,forecast_page_ok,
MELI,NASDAQ:MELI,https://www.tradingview.com/symbols/NASDAQ-MELI/forecast/,2026-06-27,symbol_map,forecast_page_ok,
TMO,NYSE:TMO,https://www.tradingview.com/symbols/NYSE-TMO/forecast/,2026-06-27,symbol_map,forecast_page_ok,
META,NASDAQ:META,https://www.tradingview.com/symbols/NASDAQ-META/forecast/,2026-06-27,symbol_map,forecast_page_ok,
IONQ,NYSE:IONQ,https://www.tradingview.com/symbols/NYSE-IONQ/forecast/,2026-06-27,symbol_map,forecast_page_ok,
RGTI,NASDAQ:RGTI,https://www.tradingview.com/symbols/NASDAQ-RGTI/forecast/,2026-06-27,symbol_map,forecast_page_ok,
SDGR,NASDAQ:SDGR,https://www.tradingview.com/symbols/NASDAQ-SDGR/forecast/,2026-06-27,symbol_map,forecast_page_ok,
RXRX,NASDAQ:RXRX,https://www.tradingview.com/symbols/NASDAQ-RXRX/forecast/,2026-06-27,symbol_map,forecast_page_ok,
QCOM,NASDAQ:QCOM,https://www.tradingview.com/symbols/NASDAQ-QCOM/forecast/,2026-06-27,symbol_map,forecast_page_ok,
