month,review_date,ticker,market,name,theme,asset_type,price,price_date,probe_price,core_price,strong_price,distance_to_probe_pct,distance_to_core_pct,pct_1m,pct_3m,pct_6m,drawdown_1y_pct,up_from_low_1y_pct,current_decision,basis_status,basis_type,review_category,proposed_action,review_reason,suggested_probe_price,suggested_core_price,suggested_strong_price,auto_apply
2026-07,2026-07-28,AVAV,US,AeroVironment,防衛ドローン,stock,154.24000549316406,2026-07-27,150.0,130.0,110.0,2.748966119138254,15.715770636586488,12.847537136643647,-21.41837861605239,-49.88139545307423,-62.36488042683358,12.847537136643647,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-62.36%。割安化か業績悪化か確認。,150.0,130.0,110.0,NO
2026-07,2026-07-28,TMDX,US,TransMedics,移植医療,stock,74.27999877929688,2026-07-27,85.0,70.0,55.0,-14.431881255887923,5.761980142209945,-4.296848774416349,-34.387422153521804,-46.20899359172832,-50.61826905763637,19.729203228793168,打診買い,reviewed_v1_3_1,精査修正_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：打診買い,85.0,70.0,55.0,NO
2026-07,2026-07-28,NOW,US,ServiceNow,業務AI・SaaS,stock,105.55999755859375,2026-07-27,90.0,80.0,70.0,14.740430009916189,24.213715564369945,17.91778543008881,17.067760565785147,-20.697169953746762,-46.85863980923134,27.18071995011295,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-46.86%。割安化か業績悪化か確認。,90.0,80.0,70.0,NO
2026-07,2026-07-28,RDW,US,Redwire,宇宙インフラ,stock,8.829999923706055,2026-07-27,16.0,13.0,10.0,-81.20045456676077,-47.22536933549312,-18.240742891086597,-8.78099539950677,-29.47284663851144,-65.90733569977124,74.50592931935076,強く買いたい,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：強く買いたい,16.0,13.0,10.0,NO
2026-07,2026-07-28,TEM,US,Tempus AI,AI医療・診断,stock,42.90999984741211,2026-07-27,42.0,34.0,26.0,2.1207174333443657,20.764390303183532,-21.79697342316284,-17.670758390669068,-34.30802197200227,-58.44067811388658,1.274488858013579,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1か月騰落 -21.80%。悪材料/決算/需給を確認。 / 1年高値から-58.44%。割安化か業績悪化か確認。,42.0,34.0,26.0,NO
2026-07,2026-07-28,AAOI,US,Applied Optoelectronics,光通信・CPO周辺,stock,97.81999969482422,2026-07-27,55.0,42.0,32.0,43.77427911307781,57.063994959077604,-29.392230088540412,-39.68058161231686,173.85217343757608,-56.154192282075975,401.89841376900216,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1か月騰落 -29.39%。悪材料/決算/需給を確認。 / 1年高値から-56.15%。割安化か業績悪化か確認。,55.0,42.0,32.0,NO
2026-07,2026-07-28,OUST,US,Ouster,LiDAR・ロボティクス,stock,35.13999938964844,2026-07-27,20.0,15.0,11.0,43.08480265400456,57.31360199050343,-15.973219402013816,24.521616742276844,41.465375095770554,-43.793987312287705,111.30487770889684,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-43.79%。割安化か業績悪化か確認。,20.0,15.0,11.0,NO
2026-07,2026-07-28,ASPI,US,ASP Isotopes,核燃料・同位体,stock,4.050000190734863,2026-07-27,5.5,4.2,3.2,-35.80246274018169,-3.7036988197751115,-36.22046847937379,-24.299060506001776,-52.240561210374715,-71.17437625797616,4.651170813917928,本命買い,reviewed_v1_3_1,精査維持_v1.3.1,急落確認,要確認,現在判定：本命買い / 1か月騰落 -36.22%。悪材料/決算/需給を確認。,5.5,4.2,3.2,NO
2026-07,2026-07-28,NBIS,US,Nebius,AIクラウド,stock,187.8800048828125,2026-07-27,140.0,105.0,80.0,25.484353650446717,44.11326523783504,-26.7895408533363,27.670562793814113,98.81481998181218,-34.46579815031693,272.7777761799108,見送り,reviewed_v1_3_1,AIクラウド条件付き慎重化_v1.3.1,急落確認,要確認,1か月騰落 -26.79%。悪材料/決算/需給を確認。,140.0,105.0,80.0,NO
2026-07,2026-07-28,EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,etf,161.1999969482422,2026-07-27,,,,,,-21.365855147198936,4.289311839208679,36.6449057219747,-26.45985438297932,128.16701127627726,基準未設定,scale_rebase_pending_v1_3_1,価格スケール確認待ち_v1.3.1,価格スケール確認待ち,要確認継続,価格スケール確認待ち。自動上書きしない。,,,,NO
