ticker,market,name,theme,asset_type,price,price_date,daily_pct,daily_diff,probe,core,strong,distance,gap_ratio,decision,rating,rating_brief,basis_status,basis_display,note
AVAV,US,AeroVironment,防衛ドローン,stock,141.8000030517578,2026-07-13,-1.922810031877972,-2.779998779296875,150.0,130.0,110.0,8.32158166276678,1.0907692542442908,打診買い,レーティング：TV_FULL / 17.0人 / — / 平均目標 241.47 / 乖離 70.29% / 基準日 2026-07-04,評：TV_FULL 17.0人 — 平均241.47 乖離70.29%,reviewed_v1_3_1,v1.3.1採用,
AXON,US,Axon Enterprise,公共安全AI・防衛,stock,547.030029296875,2026-07-13,-3.317419388662455,-18.76995849609375,430.0,385.0,340.0,29.619951486966865,1.420857218952922,見送り,レーティング：TV_FULL / 17.0人 / — / 平均目標 676.88 / 乖離 23.74% / 基準日 2026-07-04,評：TV_FULL 17.0人 — 平均676.88 乖離23.74%,reviewed_v1_3_1,v1.3.1採用,
AUR,US,Aurora Innovation,自動運転・物流,stock,6.050000190734863,2026-07-13,-5.172412504493704,-0.3299999237060547,5.0,4.0,3.0,33.88429960505274,1.5125000476837158,見送り,レーティング：TV_FULL / 11.0人 / — / 平均目標 11.14 / 乖離 84.13% / 基準日 2026-07-04,評：TV_FULL 11.0人 — 平均11.14 乖離84.13%,reviewed_v1_3_1,v1.3.1採用,
TMDX,US,TransMedics,移植医療,stock,75.73999786376953,2026-07-13,6.331593842887178,4.5099945068359375,85.0,70.0,55.0,7.5785556187812855,1.0819999694824218,打診買い,レーティング：TV_FULL / 9.0人 / — / 平均目標 117.33 / 乖離 54.91% / 基準日 2026-07-04,評：TV_FULL 9.0人 — 平均117.33 乖離54.91%,reviewed_v1_3_1,v1.3.1採用,
NOW,US,ServiceNow,業務AI・SaaS,stock,111.26000213623047,2026-07-13,3.2958899655859124,3.5500030517578125,90.0,80.0,70.0,28.096352270382557,1.390750026702881,見送り,レーティング：TV_FULL / 42.0人 / — / 平均目標 140.38 / 乖離 26.17% / 基準日 2026-07-04,評：TV_FULL 42.0人 — 平均140.38 乖離26.17%,reviewed_v1_3_1,v1.3.1採用,日次価格桁チェック対象。
RDW,US,Redwire,宇宙インフラ,stock,9.59000015258789,2026-07-13,-5.795679124763081,-0.5900001525878906,16.0,13.0,10.0,-35.557870627269075,0.7376923194298377,強く買いたい,レーティング：TV_FULL / 7.0人 / — / 平均目標 15.71 / 乖離 63.82% / 基準日 2026-07-04,評：TV_FULL 7.0人 — 平均15.71 乖離63.82%,reviewed_v1_3_1,v1.3.1採用,
TRMB,US,Trimble,測位・建設DX,stock,52.290000915527344,2026-07-13,-1.0034054948107263,-0.529998779296875,52.0,45.0,39.0,13.941481713308981,1.162000020345052,見送り,レーティング：TV_FULL / 12.0人 / — / 平均目標 84.08 / 乖離 60.80% / 基準日 2026-07-04,評：TV_FULL 12.0人 — 平均84.08 乖離60.80%,reviewed_v1_3_1,v1.3.1採用,
VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,196.80999755859375,2026-07-13,3.518831587010414,6.69000244140625,165.0,145.0,127.5,26.32488095182716,1.3573103279903018,見送り,レーティング：TV_FULL / 23.0人 / — / 平均目標 241.43 / 乖離 22.67% / 基準日 2026-07-04,評：TV_FULL 23.0人 — 平均241.43 乖離22.67%,reviewed_v1_3_1,v1.3.1採用,
PYPL,US,PayPal,決済・フィンテック,stock,47.650001525878906,2026-07-13,2.871333851073625,1.3300018310546875,45.0,40.0,35.0,16.05456722120808,1.1912500381469726,見送り,レーティング：TV_FULL / 31.0人 / — / 平均目標 47.11 / 乖離 -1.13% / 基準日 2026-07-04,評：TV_FULL 31.0人 — 平均47.11 乖離-1.13%,reviewed_v1_3_1,v1.3.1採用,
TEM,US,Tempus AI,AI医療・診断,stock,55.93000030517578,2026-07-13,-3.9498527479676073,-2.299999237060547,42.0,34.0,26.0,39.20972677546432,1.6450000089757584,見送り,レーティング：TV_FULL / 16.0人 / — / 平均目標 66.06 / 乖離 18.11% / 基準日 2026-07-04,評：TV_FULL 16.0人 — 平均66.06 乖離18.11%,reviewed_v1_3_1,v1.3.1採用,
